,0,2,4,7,23
Loss_l,0.0090217,0.0019746,0.00083193,0.0012209,0.00073734
Top1_l,0.9977,0.9997,0.9998,0.9997,0.9998
Top5_l,1,1,1,1,1
Loss_t,1.6328,1.4271,1.4198,1.4299,1.3681
Top1_t,0.6609,0.7117,0.7252,0.7192,0.7247
Top5_t,0.8814,0.9112,0.9163,0.9148,0.9188
