Epoch,Loss_l,Top1_l,Top5_l,Loss_t,Top1_t,Top5_t
75,0.61555,0.8031999999999999,0.9795,1.7834,0.5887,0.8464
76,0.60144,0.8101999999999999,0.9797,1.7323,0.5882999999999999,0.8406999999999999
77,0.59476,0.81,0.9799,1.7543,0.5886,0.8406999999999999
78,0.58766,0.8122,0.9814,1.7921,0.5878,0.8412999999999999
79,0.56726,0.8179000000000001,0.9825,1.8,0.5841,0.8425
80,0.57032,0.8186,0.9828,1.8089,0.5803,0.8421
81,0.55191,0.8234,0.9837,1.8566,0.5872999999999999,0.8397
82,0.54076,0.8254,0.9848,1.7637,0.5892000000000001,0.8449
83,0.52929,0.8320000000000001,0.9845,1.7852,0.5905,0.8414
84,0.52076,0.8338,0.9852,1.7682,0.593,0.8454
85,0.51683,0.8336,0.9861,1.8407,0.5869,0.841
86,0.50936,0.8362,0.9862000000000001,1.9427,0.5805,0.8365
87,0.50296,0.8379000000000001,0.9871,1.8828,0.586,0.8428
88,0.4916,0.8414,0.9867,1.9017,0.578,0.8355
89,0.48046,0.8477,0.9868000000000001,1.8604,0.5874,0.8377
90,0.47713,0.847,0.9881,1.8989,0.589,0.8415
91,0.47262,0.8482999999999999,0.9884999999999999,1.8752,0.5884,0.8419
92,0.45549,0.8538,0.9887,1.8509,0.5954999999999999,0.8438
93,0.4551,0.8541,0.9883,1.8977,0.5989,0.8406999999999999
94,0.44193,0.8562000000000001,0.9899,1.9345,0.5909,0.8454999999999999
95,0.43338,0.8612000000000001,0.9903,1.9195,0.5925,0.8397
96,0.43509,0.8606999999999999,0.99,1.9326,0.5906,0.8419
97,0.43348,0.8593999999999999,0.9902,1.9332,0.5920000000000001,0.8404
98,0.41935,0.8656999999999999,0.9904000000000001,1.9692,0.5887,0.8345
99,0.40719,0.8684000000000001,0.9919,1.8628,0.5995,0.8467
