,0,1,2,3,4,5
Loss_l,0.0010099,0.0012561,0.0028368,0.0025534,0.00093278,0.0090217
Top1_l,0.9998,0.9998,0.9994,0.9994,0.9998,0.9977
Top5_l,1.0,1.0,1.0,1.0,1.0,1.0
Loss_t,1.4344,1.4678,1.3883,1.4244,1.5454,1.6328
Top1_t,0.7204999999999999,0.7142000000000001,0.7168000000000001,0.7265,0.6806,0.6609
Top5_t,0.9146,0.9125,0.9169,0.9183,0.8941,0.8814
